label,source,mean_act,max_act,std_act
0,DFF,0.2703084349632263,0.9999998807907104,0.2291935384273529
0,DFF,0.0,0.0,0.0
0,DFF,0.0,0.0,0.0
0,DFF,0.08517013490200043,0.9999998807907104,0.1468924880027771
0,DFF,0.0,0.0,0.0
0,DFF,0.10923970490694046,0.9999998807907104,0.1834222972393036
0,DFF,0.10885193198919296,0.9999998807907104,0.1589258462190628
0,DFF,0.0,0.0,0.0
0,140k,0.19594253599643707,0.9999998807907104,0.2067188173532486
0,140k,0.1252141147851944,0.9999998807907104,0.22617366909980774
0,140k,0.0,0.0,0.0
0,140k,0.2993767261505127,0.9999998807907104,0.2396531105041504
0,140k,0.3428155481815338,0.9999995231628418,0.2725718021392822
0,140k,0.16850373148918152,0.9999998807907104,0.22514525055885315
0,140k,0.16811761260032654,0.9999998807907104,0.16072361171245575
0,140k,0.11189980059862137,0.9999998807907104,0.14114931225776672
0,CIFAKE,0.0,0.0,0.0
0,CIFAKE,0.0,0.0,0.0
0,CIFAKE,0.0,0.0,0.0
0,CIFAKE,0.0,0.0,0.0
0,CIFAKE,0.0,0.0,0.0
0,CIFAKE,0.0,0.0,0.0
0,CIFAKE,0.0,0.0,0.0
0,CIFAKE,0.0,0.0,0.0
1,DFF,0.0,0.0,0.0
1,DFF,0.1389089822769165,0.9999998807907104,0.22854351997375488
1,DFF,0.1388695240020752,0.9999998807907104,0.2237412929534912
1,DFF,0.2757105827331543,0.9999998807907104,0.2279248684644699
1,DFF,0.0,0.0,0.0
1,DFF,0.0,0.0,0.0
1,DFF,0.11360371857881546,0.9999998807907104,0.2034246176481247
1,DFF,0.0,0.0,0.0
1,140k,0.0,0.0,0.0
1,140k,0.0,0.0,0.0
1,140k,0.25637784600257874,0.9999998807907104,0.2578181326389313
1,140k,0.12808388471603394,0.9999998807907104,0.22314603626728058
1,140k,0.0,0.0,0.0
1,140k,0.0,0.0,0.0
1,140k,0.11729024350643158,0.9999998211860657,0.19462236762046814
1,140k,0.34926241636276245,0.9999998807907104,0.24613140523433685
1,CIFAKE,0.0,0.0,0.0
1,CIFAKE,0.0,0.0,0.0
1,CIFAKE,0.0,0.0,0.0
1,CIFAKE,0.0,0.0,0.0
1,CIFAKE,0.0,0.0,0.0
1,CIFAKE,0.0,0.0,0.0
1,CIFAKE,0.0,0.0,0.0
1,CIFAKE,0.0,0.0,0.0
